 frequency       out             out            
 9.33254301e-01 -1.99639245e-03 -5.89880331e-04 
 9.54992586e-01 -1.99641058e-03 -6.03620407e-04 
 9.77237221e-01 -1.99642956e-03 -6.17680530e-04 
 1.00000000e+00 -1.99644944e-03 -6.32068155e-04 
 1.02329299e+00 -1.99647025e-03 -6.46790911e-04 
 1.04712855e+00 -1.99649205e-03 -6.61856604e-04 
 1.07151931e+00 -1.99651487e-03 -6.77273221e-04 
 1.09647820e+00 -1.99653877e-03 -6.93048938e-04 
 1.12201845e+00 -1.99656379e-03 -7.09192118e-04 
 1.14815362e+00 -1.99659000e-03 -7.25711321e-04 
 1.17489755e+00 -1.99661743e-03 -7.42615305e-04 
 1.20226443e+00 -1.99664617e-03 -7.59913033e-04 
 1.23026877e+00 -1.99667625e-03 -7.77613676e-04 
 1.25892541e+00 -1.99670776e-03 -7.95726621e-04 
 1.28824955e+00 -1.99674075e-03 -8.14261469e-04 
 1.31825674e+00 -1.99677529e-03 -8.33228050e-04 
 1.34896288e+00 -1.99681146e-03 -8.52636418e-04 
 1.38038426e+00 -1.99684934e-03 -8.72496865e-04 
 1.41253754e+00 -1.99688900e-03 -8.92819920e-04 
 1.44543977e+00 -1.99693053e-03 -9.13616360e-04 
 1.47910839e+00 -1.99697401e-03 -9.34897211e-04 
 1.51356125e+00 -1.99701955e-03 -9.56673755e-04 
 1.54881662e+00 -1.99706724e-03 -9.78957540e-04 
 1.58489319e+00 -1.99711717e-03 -1.00176038e-03 
 1.62181010e+00 -1.99716945e-03 -1.02509437e-03 
 1.65958691e+00 -1.99722420e-03 -1.04897187e-03 
 1.69824365e+00 -1.99728152e-03 -1.07340555e-03 
 1.73780083e+00 -1.99734155e-03 -1.09840837e-03 
 1.77827941e+00 -1.99740441e-03 -1.12399357e-03 
 1.81970086e+00 -1.99747023e-03 -1.15017473e-03 
 1.86208714e+00 -1.99753916e-03 -1.17696572e-03 
 1.90546072e+00 -1.99761133e-03 -1.20438076e-03 
 1.94984460e+00 -1.99768690e-03 -1.23243437e-03 
 1.99526231e+00 -1.99776604e-03 -1.26114143e-03 
 2.04173794e+00 -1.99784890e-03 -1.29051717e-03 
 2.08929613e+00 -1.99793567e-03 -1.32057715e-03 
 2.13796209e+00 -1.99802653e-03 -1.35133732e-03 
 2.18776162e+00 -1.99812167e-03 -1.38281399e-03 
 2.23872114e+00 -1.99822129e-03 -1.41502383e-03 
 2.29086765e+00 -1.99832561e-03 -1.44798394e-03 
 2.34422882e+00 -1.99843485e-03 -1.48171179e-03 
 2.39883292e+00 -1.99854923e-03 -1.51622525e-03 
 2.45470892e+00 -1.99866901e-03 -1.55154264e-03 
 2.51188643e+00 -1.99879443e-03 -1.58768267e-03 
 2.57039578e+00 -1.99892576e-03 -1.62466451e-03 
 2.63026799e+00 -1.99906328e-03 -1.66250776e-03 
 2.69153480e+00 -1.99920728e-03 -1.70123249e-03 
 2.75422870e+00 -1.99935807e-03 -1.74085923e-03 
 2.81838293e+00 -1.99951596e-03 -1.78140899e-03 
 2.88403150e+00 -1.99968130e-03 -1.82290328e-03 
 2.95120923e+00 -1.99985442e-03 -1.86536409e-03 
 3.01995172e+00 -2.00003571e-03 -1.90881393e-03 
 3.09029543e+00 -2.00022554e-03 -1.95327584e-03 
 3.16227766e+00 -2.00042432e-03 -1.99877340e-03 
 3.23593657e+00 -2.00063246e-03 -2.04533073e-03 
 3.31131121e+00 -2.00085042e-03 -2.09297251e-03 
 3.38844156e+00 -2.00107865e-03 -2.14172400e-03 
 3.46736850e+00 -2.00131763e-03 -2.19161106e-03 
 3.54813389e+00 -2.00156788e-03 -2.24266012e-03 
